Species,Genus,Family
Escherichia phage vB_EcoP_Bp7,Carltongylesvirus,Chaseviridae
Tanzavirus daressalaamense,Tanzavirus,Phenuiviridae
Muyegivirus borborenecus,Muyegivirus,Fiersviridae
Sripuvirus charleville,Sripuvirus,Rhabdoviridae
Cynoglossusvirus cynoglossi,Cynoglossusvirus,Paramyxoviridae
Enterovirus goat/JL14,Enterovirus,Picornaviridae
Apeevirus quebecense,Apeevirus,Duinviridae
Jacquemontia mosaic Yucatan virus,Begomovirus,Geminiviridae
Cripavirus grylli,Cripavirus,Dicistroviridae
Berlinvirus PYPS50,Berlinvirus,Autographiviridae
Gredihovirus neotellurenecus,Gredihovirus,Steitzviridae
Betapolyomavirus calbifrons,Betapolyomavirus,Polyomaviridae
Beet cryptic virus 2,Deltapartitivirus,Partitiviridae
Sripuvirus sripur,Sripuvirus,Rhabdoviridae
Primula malacoides virus 1,Betapartitivirus,Partitiviridae
Peropuvirus hubeiense,Peropuvirus,Artoviridae
Thrush coronavirus HKU12-600,Deltacoronavirus,Coronaviridae
Alphaglobulovirus TTSV1,Alphaglobulovirus,Globuloviridae
Corchorus golden mosaic virus,Begomovirus,Geminiviridae
Alphabaculovirus heleucae,Alphabaculovirus,Baculoviridae
Tomato leaf curl Madagascar virus,Begomovirus,Geminiviridae
Olene mendosa nucleopolyhedrovirus,Alphabaculovirus,Baculoviridae
Aparavirus kashmirense,Aparavirus,Dicistroviridae
Mihkrovirus pedovicinum,Mihkrovirus,Fiersviridae
Berlinvirus S523,Berlinvirus,Autographiviridae
Gammatorquevirus homidi15,Gammatorquevirus,Anelloviridae
Pteridovirus filicis,Pteridovirus,Mayoviridae
Dioscovirus dioscoreae,Dioscovirus,Caulimoviridae
Przondovirus 2044307w,Przondovirus,Autographiviridae
Cyclovirus insaan,Cyclovirus,Circoviridae
Lazarusvirus lazarus,Lazarusvirus,Straboviridae
Ledantevirus oita,Ledantevirus,Rhabdoviridae
Okra yellow vein mosaic virus,Begomovirus,Geminiviridae
Bacillus phage DIGNKC,Wphvirus,Herelleviridae
Vesiculovirus alagoas,Vesiculovirus,Rhabdoviridae
Sida golden mosaic Lara virus,Begomovirus,Geminiviridae
Scleroulivirus alphaplasmoparae,Scleroulivirus,Botourmiaviridae
Gredihovirus tellurivicinum,Gredihovirus,Steitzviridae
Mycobacterium phage Crossroads,Faithunavirus,Vilmaviridae
Alphabaculovirus chrychalcites,Alphabaculovirus,Baculoviridae
Alphapolyomavirus muris,Alphapolyomavirus,Polyomaviridae
Prunus latent virus,Grablovirus,Geminiviridae
Betatorquevirus homini8,Betatorquevirus,Anelloviridae
Chayote yellow mosaic virus,Begomovirus,Geminiviridae
Sclerotimonavirus betaplasmoparae,Sclerotimonavirus,Mymonaviridae
Tomato mottle leaf curl virus,Begomovirus,Geminiviridae
Phikmvvirus RLP,Phikmvvirus,Autographiviridae
Porprismacovirus chicas6,Porprismacovirus,Smacoviridae
Sholavirus caenivivens,Sholavirus,Fiersviridae
Webervirus KLPPOU149,Webervirus,Drexlerviridae
Magnaporthe penoulivirus,Penoulivirus,Botourmiaviridae
Cyclovirus yarasa,Cyclovirus,Circoviridae
Halorubrum tailed phage 7,Mincapvirus,Hafunaviridae
Nigecruvirus ixodes,Nigecruvirus,Chuviridae
Orthoflavivirus jugraense,Orthoflavivirus,Flaviviridae
Cowpea chlorotic mottle virus,Bromovirus,Bromoviridae
Euprosterna elaeasa virus,Alphapermutotetravirus,Permutotetraviridae
Whopevirus animalis,Whopevirus,Intestiviridae
Orthonairovirus lusakaense,Orthonairovirus,Nairoviridae
Sonfela circovirus 1,Circovirus,Circoviridae
Alphachrysovirus fusarii,Alphachrysovirus,Chrysoviridae
Maize dwarf mosaic virus,Potyvirus,Potyviridae
Kuttervirus EP75,Kuttervirus,Ackermannviridae
Gemycircularvirus sewopo4,Gemycircularvirus,Genomoviridae
Rabovirus B,Rabovirus,Picornaviridae
Spring beauty latent virus,Bromovirus,Bromoviridae
Gemykibivirus echi1,Gemykibivirus,Genomoviridae
Rotavirus B,Rotavirus,Sedoreoviridae
Chickpea redleaf virus 2,Mastrevirus,Geminiviridae
Macroptilium yellow mosaic Florida virus,Begomovirus,Geminiviridae
Orthobunyavirus turlockense,Orthobunyavirus,Peribunyaviridae
Dosmizivirus solihabitans,Dosmizivirus,Fiersviridae
Lyssavirus gannoruwa,Lyssavirus,Rhabdoviridae
Alphapolyomavirus molossi,Alphapolyomavirus,Polyomaviridae
Bocaparvovirus chiropteran4,Bocaparvovirus,Parvoviridae
Orthotospovirus meloflavi,Orthotospovirus,Tospoviridae
Muscodensovirus dipteran1,Muscodensovirus,Parvoviridae
Cyclovirus ZM36a,Cyclovirus,Circoviridae
Murciavirus CB5A,Murciavirus,Autographiviridae
Tapjovirus bothropis,Tapjovirus,Filoviridae
Oxychlovirus terrenecus,Oxychlovirus,Fiersviridae
Magnaporthe oryzae virus 2,Victorivirus,Totiviridae
Tomato leaf curl Bangladesh betasatellite,Betasatellite,Tolecusatellitidae
Werosea circovirus,Circovirus,Circoviridae
Platyrrhini mastadenovirus A,Mastadenovirus,Adenoviridae
Duamitovirus busp1,Duamitovirus,Mitoviridae
Gamaleyavirus EC1UPM,Gamaleyavirus,Schitoviridae
Aquabirnavirus ascitae,Aquabirnavirus,Birnaviridae
Tequatrovirus snuabm,Tequatrovirus,Straboviridae
