Species,Genus,Family
Orthotospovirus glycininecrovenae,Orthotospovirus,Tospoviridae
Bulbul coronavirus HKU11,Deltacoronavirus,Coronaviridae
Eapunavirus Eap1,Eapunavirus,Autographiviridae
Piscihepevirus heenan,Piscihepevirus,Hepeviridae
Cymbidium mosaic virus,Potexvirus,Alphaflexiviridae
Bronvirus dirkdirk,Bronvirus,Vilmaviridae
Hedyotis uncinella yellow mosaic virus,Begomovirus,Geminiviridae
Badnavirus etavirgamusae,Badnavirus,Caulimoviridae
Luloavirus edaphenecus,Luloavirus,Steitzviridae
Gulmivirus arvihabitans,Gulmivirus,Steitzviridae
Feravirus neuropterus,Feravirus,Phasmaviridae
Hapavirus landjia,Hapavirus,Rhabdoviridae
Pairvirus Lo5R7ANS,Pairvirus,Autographiviridae
Gemycircularvirus poass1,Gemycircularvirus,Genomoviridae
Brome streak mosaic virus,Tritimovirus,Potyviridae
Betatectivirus sato,Betatectivirus,Tectiviridae
Dehcevirus asiohabitans,Dehcevirus,Fiersviridae
Stenotrophomonas phage phiSHP2,Siphunculivirus,Inoviridae
Kihsiravirus limivicinum,Kihsiravirus,Steitzviridae
Gemycircularvirus chicas1,Gemycircularvirus,Genomoviridae
Orthonairovirus soldadoense,Orthonairovirus,Nairoviridae
Trichomonas vaginalis virus 4,Trichomonasvirus,Totiviridae
Indian citrus ringspot virus,Potexvirus,Alphaflexiviridae
Unuamitovirus nior2,Unuamitovirus,Mitoviridae
Wild onion symptomless virus,Potyvirus,Potyviridae
Sapelovirus B,Sapelovirus,Picornaviridae
Tomato chino La Paz virus,Begomovirus,Geminiviridae
Sorghum almum marafivirus,Marafivirus,Tymoviridae
Psipapillomavirus 3,Psipapillomavirus,Papillomaviridae
Vicia faba alphaendornavirus,Alphaendornavirus,Endornaviridae
Friunavirus AB6,Friunavirus,Autographiviridae
Chestnut teal chaphamaparvovirus 2,Chaphamaparvovirus,Parvoviridae
Phlebovirus urucuriense,Phlebovirus,Phenuiviridae
Pifdecavirus Pf10,Pifdecavirus,Autographiviridae
Passionfruit severe leaf distortion virus,Begomovirus,Geminiviridae
Alphalipothrixvirus SFV1,Alphalipothrixvirus,Lipothrixviridae
Betapleolipovirus HRPV12,Betapleolipovirus,Pleolipoviridae
Cytomegalovirus mandrillinebeta1,Cytomegalovirus,Orthoherpesviridae
Pipunevirus borborovivens,Pipunevirus,Fiersviridae
Reptarenavirus californiae,Reptarenavirus,Arenaviridae
Kunsagivirus C,Kunsagivirus,Picornaviridae
Phlebovirus kiborgochense,Phlebovirus,Phenuiviridae
Coguvirus viticulum,Coguvirus,Phenuiviridae
Hemiambidensovirus hemipteran2,Hemiambidensovirus,Parvoviridae
Epsilonscleroulivirus plasmoparae,Epsilonscleroulivirus,Botourmiaviridae
Sida golden yellow spot virus,Begomovirus,Geminiviridae
Parramatta River virus,Flavivirus,Flaviviridae
Apple stem grooving virus,Capillovirus,Betaflexiviridae
Cripavirus NB-1/2011/HUN,Cripavirus,Dicistroviridae
Orthonairovirus nairobiense,Orthonairovirus,Nairoviridae
Wissadula yellow mosaic virus,Begomovirus,Geminiviridae
Circovirus gull,Circovirus,Circoviridae
Kuttervirus GG32,Kuttervirus,Ackermannviridae
Raunefjordenvirus CB2047B,Raunefjordenvirus,Schitoviridae
Eracentumvirus S2,Eracentumvirus,Autographiviridae
Tequatrovirus ozark,Tequatrovirus,Straboviridae
Burkina Faso astrovirus,Mamastrovirus,Astroviridae
Cymopoleiavirus swam2,Cymopoleiavirus,Kyanoviridae
Gemycircularvirus sewopo1,Gemycircularvirus,Genomoviridae
Alphacarmovirus lonicerae,Alphacarmovirus,Tombusviridae
Jasmine virus T,Potyvirus,Potyviridae
Cypovirus 14,Cypovirus,Spinareoviridae
Kuttervirus rabagast,Kuttervirus,Ackermannviridae
Gemykrogvirus galga3,Gemykrogvirus,Genomoviridae
Tomato leaf curl Bangladesh virus,Begomovirus,Geminiviridae
Mashua virus Y,Potyvirus,Potyviridae
Psittacine aviadenovirus C,Aviadenovirus,Adenoviridae
Pregotovirus heba,Pregotovirus,Tobaniviridae
TTV-like mini virus,Betatorquevirus,Anelloviridae
Sclerotimonavirus sclerotiniae,Sclerotimonavirus,Mymonaviridae
Yuyuevirus shaheense,Yuyuevirus,Yueviridae
Unuamitovirus crri3,Unuamitovirus,Mitoviridae
Friunavirus SWHAb1,Friunavirus,Autographiviridae
Phasivirus wuhanense,Phasivirus,Phenuiviridae
Rhizoctonia magoulivirus 1,Magoulivirus,Botourmiaviridae
Pepper blistering leaf virus,Begomovirus,Geminiviridae
Krischvirus jse,Krischvirus,Straboviridae
Jesfedecavirus JSF10,Jesfedecavirus,Demerecviridae
Miscanthus streak virus,Mastrevirus,Geminiviridae
Betatorquevirus homini26,Betatorquevirus,Anelloviridae
Kihryuvirus limihabitans,Kihryuvirus,Fiersviridae
Watermelon virus A,Wamavirus,Betaflexiviridae
Betapolyomavirus octipanos,Betapolyomavirus,Polyomaviridae
Elunavirus L1,Elunavirus,Autographiviridae
Sunflower leaf curl Karnataka alphasatellite,Colecusatellite,Alphasatellitidae
Yaba monkey tumor virus,Yatapoxvirus,Poxviridae
Canada goose coronavirus,Gammacoronavirus,Coronaviridae
Betabaculovirus molatipedis,Betabaculovirus,Baculoviridae
Mammarenavirus bituense,Mammarenavirus,Arenaviridae
Epirus cherry virus,Ourmiavirus,Botourmiaviridae
Betabaculovirus clanachoretae,Betabaculovirus,Baculoviridae
Weheuvirus tellurihabitans,Weheuvirus,Steitzviridae
Great tit siadenovirus A,Siadenovirus,Adenoviridae
Gredihovirus terrihabitans,Gredihovirus,Steitzviridae
Ohlsrhavirus tongilchon,Ohlsrhavirus,Rhabdoviridae
Pagavirus S05C849,Pagavirus,Autographiviridae
Batravirus ranidallo2,Batravirus,Alloherpesviridae
Betapolyomavirus callosciuri,Betapolyomavirus,Polyomaviridae
Simian mastadenovirus A,Mastadenovirus,Adenoviridae
Canine papillomavirus 21,Taupapillomavirus,Papillomaviridae
Gammatorquevirus homidi8,Gammatorquevirus,Anelloviridae
Ohlsrhavirus pseudovishnui,Ohlsrhavirus,Rhabdoviridae
Etdyvivirus caenicola,Etdyvivirus,Solspiviridae
Cotton chlorotic spot virus,Begomovirus,Geminiviridae
Gayfeather mild mottle virus,Cucumovirus,Bromoviridae
Mucrahivirus geocola,Mucrahivirus,Fiersviridae
Streptococcus phage CHPC930,Moineauvirus,Aliceevansviridae
Krischvirus RB49,Krischvirus,Straboviridae
Thidevirus edaphovivens,Thidevirus,Fiersviridae
Tomato leaf curl Joydebpur virus,Begomovirus,Geminiviridae
Bocaparvovirus primate1,Bocaparvovirus,Parvoviridae
Tomato yellow leaf curl Indonesia virus,Begomovirus,Geminiviridae
Culicidavirus quitotaense,Culicidavirus,Chuviridae
Hohrdovirus edaphovicinum,Hohrdovirus,Steitzviridae
Curiovirus curionopolis,Curiovirus,Rhabdoviridae
Clitovirus chorohabitans,Clitovirus,Steitzviridae
Moineauvirus Sfi21,Moineauvirus,Aliceevansviridae
Caligrhavirus caligus,Caligrhavirus,Rhabdoviridae
Kuttervirus SeJ,Kuttervirus,Ackermannviridae
Tomato leaf curl Barka virus,Begomovirus,Geminiviridae
Bahnicevirus geoenecus,Bahnicevirus,Steitzviridae
Lambavirus wisconsinense,Lambavirus,Peribunyaviridae
Ascovirus sfav1a,Ascovirus,Ascoviridae
Pelargonium vein banding virus,Badnavirus,Caulimoviridae
Caulimovirus venafragariae,Caulimovirus,Caulimoviridae
Tequatrovirus pst,Tequatrovirus,Straboviridae
Marmot norovirus,Norovirus,Caliciviridae
Mahqeavirus limicola,Mahqeavirus,Fiersviridae
Phlebovirus dashliense,Phlebovirus,Phenuiviridae
Sulfolobus spindle-shaped virus 9,Alphafusellovirus,Fuselloviridae
Escherichia phage 11W,Peduovirus,Peduoviridae
Orthonairovirus macquariense,Orthonairovirus,Nairoviridae
Tulip breaking virus,Potyvirus,Potyviridae
Citexvirus phiCTX,Citexvirus,Peduoviridae
Ligustrum virus A,Carlavirus,Betaflexiviridae
Rodent astrovirus,Mamastrovirus,Astroviridae
Bocaparvovirus carnivoran4,Bocaparvovirus,Parvoviridae
Gemykibivirus anima1,Gemykibivirus,Genomoviridae
Bracoviriform glomeratae,Bracoviriform,Polydnaviriformidae
Sida mosaic Sinaloa virus,Begomovirus,Geminiviridae
Rhadinovirus bovinegamma4,Rhadinovirus,Orthoherpesviridae
Cherry twisted leaf associated virus,Robigovirus,Betaflexiviridae
Brucesealvirus CPV4,Brucesealvirus,Guelinviridae
Malvastrum yellow mosaic Jamaica virus,Begomovirus,Geminiviridae
Betabotoulivirus thetaplasmoparae,Betabotoulivirus,Botourmiaviridae
Laulavirus gammaviticulum,Laulavirus,Phenuiviridae
Bombyx mori bidensovirus,Bidensovirus,Bidnaviridae
Ornithogalum virus 2,Potyvirus,Potyviridae
Gemykroznavirus solas1,Gemykroznavirus,Genomoviridae
Yeshinuvirus humadaptatum,Yeshinuvirus,Atkinsviridae
Parsley severe stunt alphasatellite 4,Mivedwarsatellite,Alphasatellitidae
Gredihovirus chthonovivens,Gredihovirus,Steitzviridae
Metaavulavirus tennessense,Metaavulavirus,Paramyxoviridae
Alphapolyomavirus gorillae,Alphapolyomavirus,Polyomaviridae
Alphapolyomavirus pacynocephalus,Alphapolyomavirus,Polyomaviridae
Lyndovirus caenivicinum,Lyndovirus,Steitzviridae
Apocheima cinerarium nucleopolyhedrovirus,Alphabaculovirus,Baculoviridae
Chrysanthemum chlorotic mottle viroid,Pelamoviroid,Avsunviroidae
Pseudomonas virus PaMx11,Abidjanvirus,Mesyanzhinovviridae
Chickpea redleaf virus,Mastrevirus,Geminiviridae
Gredihovirus neohumadaptatum,Gredihovirus,Steitzviridae
Porprismacovirus chicas2,Porprismacovirus,Smacoviridae
Berlinvirus berlin,Berlinvirus,Autographiviridae
Pythium nunn virus 1,Gammapartitivirus,Partitiviridae
Kuttervirus SJ2,Kuttervirus,Ackermannviridae
Chifec virus UA13_1880,Cyclovirus,Circoviridae
Rhizoctonia oryzae-sativae mitovirus 1,Mitovirus,Mitoviridae
Taipeivirus menlow,Taipeivirus,Ackermannviridae
Cehakivirus limihabitans,Cehakivirus,Fiersviridae
Banana bunchy top alphasatellite 3,Muscarsatellite,Alphasatellitidae
Cunavirus pedohabitans,Cunarovirus,Steitzviridae
Betascleroulivirus epsilonplasmoparae,Betascleroulivirus,Botourmiaviridae
robinz virus RP_584,Cyclovirus,Circoviridae
BtRf-AlphaCoV/YN2012,Alphacoronavirus,Coronaviridae
Paramecium bursaria Chlorella virus A1,Chlorovirus,Phycodnaviridae
Helsettvirus fPS59,Helsettvirus,Autographiviridae
Citrus chlorotic dwarf associated virus,Citlodavirus,Geminiviridae
Dhakavirus vr5,Dhakavirus,Straboviridae
Weheuvirus chthonadaptatum,Weheuvirus,Steitzviridae
Botoulivirus epsilonbotrytidis,Botoulivirus,Botourmiaviridae
Yam chlorotic necrosis virus,Macluravirus,Potyviridae
Cyclovirus sismis,Cyclovirus,Circoviridae
Grapevine virus B,Vitivirus,Betaflexiviridae
Acionnavirus monteraybay,Acionnavirus,Kyanoviridae
Kayvirus kay,Kayvirus,Herelleviridae
Redjacvirus piberecoleta,Redjacvirus,Casjensviridae
Orthonairovirus issykkulense,Orthonairovirus,Nairoviridae
Lily symptomless virus,Carlavirus,Betaflexiviridae
Alphapolyomavirus quartipanos,Alphapolyomavirus,Polyomaviridae
Salvovirus salvo,Salvovirus,Casjensviridae
Iflavirus spexiguae,Iflavirus,Iflaviridae
Orthotospovirus polygonianuli,Orthotospovirus,Tospoviridae
Emaravirus populi,Emaravirus,Fimoviridae
Phlebovirus cacaoense,Phlebovirus,Phenuiviridae
Pepper leafroll virus,Begomovirus,Geminiviridae
Phobpsivirus agradaptatum,Phobpsivirus,Fiersviridae
Rogunavirus E41c,Rogunavirus,Drexlerviridae
Gequatrovirus talmos,Gequatrovirus,Microviridae
Sunflower mild mosaic virus,Potyvirus,Potyviridae
Badnavirus tesselloziziphi,Badnavirus,Caulimoviridae
Odonatavirus fabricii,Odonatavirus,Chuviridae
Rhopalanthe virus Y,Potyvirus,Potyviridae
Orthonairovirus tomdiense,Orthonairovirus,Nairoviridae
Hatrivirus HATV3,Hatrivirus,Pyrstoviridae
Gammabaculovirus neabietis,Gammabaculovirus,Baculoviridae
Sida golden yellow vein deltasatellite 2,Deltasatellite,Tolecusatellitidae
Unuamitovirus alar1,Unuamitovirus,Mitoviridae
Ghunavirus KNP,Ghunavirus,Autographiviridae
Penicillum brevicompactum polymycovirus 1,Polymycovirus,Polymycoviridae
Lake Sinai Virus NE,Sinaivirus,Sinhaliviridae
Epseptimavirus ev123,Epseptimavirus,Demerecviridae
Hardenbergia virus A,Divavirus,Betaflexiviridae
Cyclovirus kiroptero,Cyclovirus,Circoviridae
Gemycircularvirus sewopo2,Gemycircularvirus,Genomoviridae
Guenon simian foamy virus,Simiispumavirus,Retroviridae
Rhinovirus B,Enterovirus,Picornaviridae
Homochaacvirus californiense,Homochaacvirus,Chaacviridae
Avian carcinoma virus,Alpharetrovirus,Retroviridae
Sclerotium rolfsii hypovirus 4,Hypovirus,Hypoviridae
Wheat streak mosaic virus,Tritimovirus,Potyviridae
Retbasiphovirus HFTV1,Retbasiphovirus,Haloferuviridae
Kiwsmaevirus defluviicola,Kiwsmaevirus,Fiersviridae
Vectrevirus VEc3,Vectrevirus,Autographiviridae
Pienvirus R801,Pienvirus,Autographiviridae
Cacao swollen shoot Ghana L virus,Badnavirus,Caulimoviridae
Yellowstone lake phycodnavirus 2,Prasinovirus,Phycodnaviridae
Alphabaculovirus angemmatalis,Alphabaculovirus,Baculoviridae
Copernicusvirus IME195,Copernicusvirus,Rountreeviridae
Hemidesmus yellow mosaic virus,Begomovirus,Geminiviridae
Kembevirus SCBP2,Kembevirus,Autographiviridae
Gredihovirus chthonadaptatum,Gredihovirus,Steitzviridae
Tomato infectious chlorosis virus,Crinivirus,Closteroviridae
Gaprivervirus vr25,Gaprivervirus,Straboviridae
Bahnicevirus limihabitans,Bahnicevirus,Steitzviridae
Macroptilium yellow mosaic virus,Begomovirus,Geminiviridae
East African cassava mosaic Kenya virus,Begomovirus,Geminiviridae
Lymphocryptovirus callitrichinegamma3,Lymphocryptovirus,Orthoherpesviridae
Skunkpox virus,Orthopoxvirus,Poxviridae
Rhynchosia golden mosaic Sinaloa virus,Begomovirus,Geminiviridae
Imperata yellow mottle virus,Sobemovirus,Solemoviridae
Cardiovirus E,Cardiovirus,Picornaviridae
Cyclovirus flagermus,Cyclovirus,Circoviridae
Betanucleorhabdovirus medicagonis,Betanucleorhabdovirus,Rhabdoviridae
Tawavirus JSF7,Tawavirus,Autographiviridae
Banana streak CA virus,Badnavirus,Caulimoviridae
Mamastrovirus 16,Mamastrovirus,Astroviridae
Fish HDV-like virus,Deltavirus,Kolmioviridae
Bovine immunodeficiency virus,Lentivirus,Retroviridae
Dugnivirus chthonadaptatum,Dugnivirus,Atkinsviridae
Pepper leaf curl Lahore virus,Begomovirus,Geminiviridae
Lehptevirus chorohabitans,Lehptevirus,Atkinsviridae
Vesiculovirus eptesicus,Vesiculovirus,Rhabdoviridae
Sunshinevirus reptilis,Sunshinevirus,Sunviridae
Coleus blumei viroid 1,Coleviroid,Pospiviroidae
Ampivirus A,Ampivirus,Picornaviridae
Hemipteran ambidensovirus 2,Ambidensovirus,Parvoviridae
Rotavirus C,Rotavirus,Sedoreoviridae
Gredihovirus neoagrihabitans,Gredihovirus,Steitzviridae
Common moorhen coronavirus HKU21,Deltacoronavirus,Coronaviridae
Foussvirus S46C10,Foussvirus,Autographiviridae
Green Sichuan pepper nucleorhabdovirus,Nucleorhabdovirus,Rhabdoviridae
Boa constrictor papillomavirus 1,Dyomupapillomavirus,Papillomaviridae
Chestnut teal chaphamaparvovirus 3,Chaphamaparvovirus,Parvoviridae
Psiaduvirus pedadaptatum,Psiaduvirus,Steitzviridae
Nahantvirus 49C7,Nahantvirus,Schitoviridae
Kayeltresvirus KL3,Kayeltresvirus,Peduoviridae
Herbevirus kibaleense,Herbevirus,Peribunyaviridae
Vernonia crinkle betasatellite,Betasatellite,Tolecusatellitidae
Tomato pseudo-curly top virus,Topocuvirus,Geminiviridae
Phikmvvirus LUZ19,Phikmvvirus,Autographiviridae
Hepatovirus H,Hepatovirus,Picornaviridae
Tonitrusvirus shimokitaense,Tonitrusvirus,Verdandiviridae
Betapolyomavirus canis,Betapolyomavirus,Polyomaviridae
Coconut foliar decay alphasatellite 4,Cocosatellite,Alphasatellitidae
Surghavirus arvenecus,Surghavirus,Steitzviridae
Botoulivirus gammaplasmoparae,Botoulivirus,Botourmiaviridae
Aureusvirus cucumis,Aureusvirus,Tombusviridae
Phlebovirus buenaventuraense,Phlebovirus,Phenuiviridae
Tequatrovirus ufvareg1,Tequatrovirus,Straboviridae
Alphanudivirus oryrhinocerotis,Alphanudivirus,Nudiviridae
Alphapolyomavirus sextipanos,Alphapolyomavirus,Polyomaviridae
Dyoepsilonpapillomavirus 1,Dyoepsilonpapillomavirus,Papillomaviridae
Alphabaculovirus orleucostigmae,Alphabaculovirus,Baculoviridae
Artichoke latent virus,Macluravirus,Potyviridae
Sulfolobus spindle-shaped virus 4,Alphafusellovirus,Fuselloviridae
Enzootic nasal tumour virus of goats,Betaretrovirus,Retroviridae
Tequatrovirus zeezeesix,Tequatrovirus,Straboviridae
Alphapapillomavirus 11,Alphapapillomavirus,Papillomaviridae
Livupivirus A,Livupivirus,Picornaviridae
Percavirus mustelidgamma1,Percavirus,Orthoherpesviridae
Etatorquevirus felid2,Etatorquevirus,Anelloviridae
Sweet potato leaf curl Canary virus,Begomovirus,Geminiviridae
Merhavirus tritaeniorhynchus,Merhavirus,Rhabdoviridae
Kantovirus C171,Kantovirus,Autographiviridae
Lobdovirus arvadaptatum,Lobdovirus,Atkinsviridae
Formivirus solenopsi,Formivirus,Nyamiviridae
Hoswirudivirus MRV1,Hoswirudivirus,Rudiviridae
Pujohnavirus geohabitans,Pujohnavirus,Steitzviridae
Ceetrepovirus stickynote,Ceetrepovirus,Zierdtviridae
Sida yellow mottle virus,Begomovirus,Geminiviridae
Sewage-associated gemycircularvirus 7,Gemycircularvirus,Genomoviridae
Hancheng leafhopper mivirus,Mivirus,Chuviridae
Chrysanthemum stunt viroid,Pospiviroid,Pospiviroidae
Koutsourovirus KDA1,Koutsourovirus,Autographiviridae
Sweet potato leaf curl China virus,Begomovirus,Geminiviridae
Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae
Alphapolyomavirus octihominis,Alphapolyomavirus,Polyomaviridae
Metaavulavirus yucaipaense,Metaavulavirus,Paramyxoviridae
Sinsheimervirus phiX174,Sinsheimervirus,Microviridae
Woodchuck hepatitis virus,Orthohepadnavirus,Hepadnaviridae
Patimovirus humivicinum,Patimovirus,Steitzviridae
Zhonglingvirus SAP012,Zhonglingvirus,Casjensviridae
Circovirus impundu,Circovirus,Circoviridae
Gredihovirus neoagrivivens,Gredihovirus,Steitzviridae
Agatevirus Bp8pC,Agatevirus,Herelleviridae
Sweet potato leaf curl virus,Begomovirus,Geminiviridae
Only Syngen Nebraska virus 5,Chlorovirus,Phycodnaviridae
Yuhrihovirus borborohabitans,Yuhrihovirus,Fiersviridae
Grapevine rupestris stem pitting-associated virus,Foveavirus,Betaflexiviridae
Gemykibivirus galga3,Gemykibivirus,Genomoviridae
Tomato yellow spot virus,Begomovirus,Geminiviridae
Torque teno virus 27,Alphatorquevirus,Anelloviridae
Siophivirus SIOphi,Siophivirus,Herelleviridae
Methanothermobacter phage psiM100,Psimunavirus,Leisingerviridae
Narcissus common latent virus,Carlavirus,Betaflexiviridae
Aeromonas phage ZPAH14,Pahsextavirus,Chaseviridae
Torradovirus lycopersici,Torradovirus,Secoviridae
Honeysuckle yellow vein betasatellite,Betasatellite,Tolecusatellitidae
Nodamura virus,Alphanodavirus,Nodaviridae
Abutilon Brazil virus,Begomovirus,Geminiviridae
Tohkunevirus borborocola,Tohkunevirus,Solspiviridae
Kowinovirus pelenecus,Kowinovirus,Fiersviridae
Alphachrysovirus anthurii,Alphachrysovirus,Chrysoviridae
Orthophasmavirus kigluaikense,Orthophasmavirus,Phasmaviridae
Tomato chlorotic leaf distortion virus,Begomovirus,Geminiviridae
Malvastrum yellow vein virus,Begomovirus,Geminiviridae
Tequintavirus SPC35,Tequintavirus,Demerecviridae
Redjacvirus redjac,Redjacvirus,Casjensviridae
Orthobunyavirus sedlecense,Orthobunyavirus,Peribunyaviridae
Ephemerovirus puchong,Ephemerovirus,Rhabdoviridae
Ovine atadenovirus D,Atadenovirus,Adenoviridae
Nyctalus velutinus alphacoronavirus SC-2013,Alphacoronavirus,Coronaviridae
Magoulivirus betaplasmoparae,Magoulivirus,Botourmiaviridae
Gammatorquevirus homidi3,Gammatorquevirus,Anelloviridae
Ureyisuvirus caenihabitans,Ureyisuvirus,Fiersviridae
Lobdovirus arvicola,Lobdovirus,Atkinsviridae
Stupnyavirus KM16C193,Stupnyavirus,Autographiviridae
Cyclovirus roach,Cyclovirus,Circoviridae
Buhdavirus caenihabitans,Buhdavirus,Fiersviridae
Duamitovirus scsc6,Duamitovirus,Mitoviridae
Scuadavirus asiohabitans,Scuadavirus,Fiersviridae
Henuseptimavirus henu7,Henuseptimavirus,Drexlerviridae
Mosigvirus c120,Mosigvirus,Straboviridae
Tequatrovirus oe5505,Tequatrovirus,Straboviridae
Streptococcus phage CHPC1036,Moineauvirus,Aliceevansviridae
Dichorhavirus coffeae,Dichorhavirus,Rhabdoviridae
Livvievirus viph1249a,Livvievirus,Autolykiviridae
Erysiphe necator mitovirus 3,Mitovirus,Mitoviridae
Dhakavirus ime281,Dhakavirus,Straboviridae
Orthoflavivirus boubouiense,Orthoflavivirus,Flaviviridae
Zuysuivirus humivicinum,Zuysuivirus,Steitzviridae
Phlebovirus karimabadense,Phlebovirus,Phenuiviridae
Badnavirus maculasmallanthi,Badnavirus,Caulimoviridae
Sauropus leaf curl disease associated DNA beta,Betasatellite,Tolecusatellitidae
Barley yellow dwarf virus GAV,Luteovirus,Tombusviridae
Wallal virus,Orbivirus,Sedoreoviridae
Inpeasmacovirus humas1,Inpeasmacovirus,Smacoviridae
Alphapolyomavirus saraneus,Alphapolyomavirus,Polyomaviridae
Phikmvvirus PAXYB1,Phikmvvirus,Autographiviridae
Palmarnavirus 128,Salisharnavirus,Marnaviridae
Spodoptera exigua multiple nucleopolyhedrovirus,Alphabaculovirus,Baculoviridae
Sida yellow mosaic Alagoas virus,Begomovirus,Geminiviridae
Macavirus suidgamma3,Macavirus,Orthoherpesviridae
Macavirus bovinegamma6,Macavirus,Orthoherpesviridae
Ross River virus,Alphavirus,Togaviridae
Alphapolyomavirus ponabelii,Alphapolyomavirus,Polyomaviridae
Choristoneura rosaceana entomopoxvirus,Betaentomopoxvirus,Poxviridae
Gemykolovirus citas1,Gemykolovirus,Genomoviridae
Pepper ringspot virus,Tobravirus,Virgaviridae
Hymovirus chrysis,Hymovirus,Phasmaviridae
Bean yellow mosaic virus,Potyvirus,Potyviridae
Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae
Pestivirus ovis,Pestivirus,Flaviviridae
Senquatrovirus SEN4,Senquatrovirus,Peduoviridae
Grapevine virus H,Vitivirus,Betaflexiviridae
Bonghivirus borborenecus,Bonghivirus,Blumeviridae
Stopalavirus S38C3,Stopalavirus,Autographiviridae
Labidocera aestiva circovirus,Circovirus,Circoviridae
Copiparvovirus ungulate3,Copiparvovirus,Parvoviridae
Kingevirus communis,Kingevirus,Crevaviridae
